Designator,Mid X,Mid Y,Layer,Rotation
C1,19.9644mm,34.5440mm,Top,0
C2,16.0274mm,26.9546mm,Top,90
C3,21.9422mm,39.5942mm,Top,0
C4,21.9422mm,38.3942mm,Top,0
C5,14.0335mm,42.0924mm,Top,270
C6,15.5702mm,37.8460mm,Top,90
C7,3.7338mm,15.7480mm,Top,90
C8,15.5702mm,42.0924mm,Top,270
C9,12.8016mm,13.2588mm,Top,0
C10,28.3972mm,26.1366mm,Top,270
C11,18.4912mm,5.3610mm,Top,180
C12,55.1434mm,1.8594mm,Top,90
C13,53.7718mm,1.8594mm,Top,90
C14,11.7602mm,54.6100mm,Top,90
C15,13.9446mm,52.5100mm,Top,180
C16,13.0048mm,56.1340mm,Top,270
C17,13.9446mm,51.2400mm,Top,180
C18,8.9154mm,58.9702mm,Top,90
C19,15.8687mm,59.1912mm,Top,180
C20,18.8085mm,59.1912mm,Top,0
C21,26.0604mm,58.9702mm,Top,90
C22,21.6916mm,56.9322mm,Top,90
C23,21.6916mm,54.2082mm,Top,90
C24,79.4766mm,59.0639mm,Top,90
C25,78.0034mm,59.0639mm,Top,90
C26,42.7192mm,35.2009mm,Top,0
C27,42.7192mm,36.4744mm,Top,0
C28,47.2977mm,57.5738mm,Top,0
C29,37.6183mm,57.5788mm,Top,0
C30,63.2206mm,12.4540mm,Top,0
C31,63.2206mm,13.7494mm,Top,0
C32,71.3181mm,3.8354mm,Top,0
D1,7.5094mm,7.7946mm,Top,270
D2,17.4244mm,17.1196mm,Top,90
D3,26.0350mm,41.8942mm,Top,90
D4,23.0886mm,25.4188mm,Top,270
D5,67.4440mm,17.0530mm,Top,90
D6,67.4440mm,14.7022mm,Top,270
D7,67.4440mm,11.4530mm,Top,90
D8,67.4440mm,9.1018mm,Top,270
D9,67.4440mm,7.3030mm,Top,90
F1,3.1496mm,6.6548mm,Top,180
FB1,3.1496mm,9.3472mm,Top,0
J1,7.1886mm,27.4626mm,Top,0
J2,12.0344mm,3.5560mm,Top,0
J3,30.6578mm,7.8284mm,Top,270
J4,75.3482mm,14.2780mm,Top,90
J5,17.3386mm,63.4828mm,Top,0
J6,59.9140mm,63.1257mm,Top,90
J7,47.0408mm,35.5092mm,Top,90
J8,63.0675mm,27.3580mm,Top,90
J9,58.0644mm,12.7762mm,Top,90
J10,54.8386mm,12.7762mm,Top,90
L1,20.3621mm,43.1598mm,Top,0
L2,23.0886mm,17.0156mm,Top,90
L3,63.2968mm,61.4669mm,Top,90
LED1,1.6630mm,51.1048mm,Top,0
LED2,83.3374mm,51.1048mm,Top,180
Q1,41.3512mm,41.7592mm,Top,0
R1,17.8410mm,33.9142mm,Top,270
R2,15.7226mm,33.1522mm,Top,180
R3,15.7226mm,34.5492mm,Top,0
R4,11.5500mm,8.5598mm,Top,90
R5,12.7000mm,8.5598mm,Top,90
R6,10.4344mm,8.3522mm,Top,270
R7,13.7844mm,8.3522mm,Top,270
R8,18.1991mm,4.1618mm,Top,180
R9,58.8264mm,3.6120mm,Top,180
R10,26.2536mm,3.6120mm,Top,0
R11,64.7446mm,16.6280mm,Top,0
R12,64.7446mm,15.1272mm,Top,0
R13,64.7446mm,11.0280mm,Top,0
R14,64.7446mm,9.5268mm,Top,0
R15,64.7446mm,6.8780mm,Top,0
R16,36.0580mm,20.9094mm,Top,0
R17,47.2977mm,56.2276mm,Top,180
R18,37.6183mm,56.2326mm,Top,180
R19,15.9386mm,50.3002mm,Top,90
R20,1.3829mm,49.5300mm,Top,180
R21,21.2217mm,50.2240mm,Top,180
R22,21.2217mm,52.2306mm,Top,180
R23,38.1177mm,33.2197mm,Top,180
R24,40.3606mm,46.7106mm,Top,90
R25,41.7322mm,46.7106mm,Top,90
R26,43.1165mm,46.7106mm,Top,90
R27,83.6175mm,49.5300mm,Top,180
R28,38.7604mm,39.9972mm,Top,90
R29,41.3512mm,39.3410mm,Top,180
R30,38.8520mm,20.9094mm,Top,180
R31,71.3181mm,5.1054mm,Top,0
SW1,6.3500mm,40.3404mm,Top,90
SW2,58.8264mm,1.4784mm,Top,0
SW3,26.2536mm,1.4784mm,Top,180
SW4,47.2977mm,61.4042mm,Top,180
SW5,37.6183mm,61.4092mm,Top,180
U1,17.8410mm,37.6442mm,Top,270
U2,11.0999mm,16.5776mm,Top,180
U3,42.5400mm,10.2314mm,Top,180
U4,17.3386mm,55.5702mm,Top,90
U5,70.8006mm,58.7259mm,Top,180
U6,41.1922mm,32.9697mm,Top,0
